"State","Percent of patients who reported that their home health team gave care in a professional way","Percent of patients who reported that their home health team communicated well with them","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Number of completed Surveys","Response rate"
"AK","89","85","81","82","81","",""
"AL","91","89","87","89","84","",""
"AR","90","87","86","87","83","",""
"AZ","87","84","80","81","75","",""
"CA","85","83","82","80","74","",""
"CO","87","84","82","82","76","",""
"CT","86","84","82","81","76","",""
"DC","80","71","67","73","55","",""
"DE","87","85","83","81","77","",""
"FL","89","85","82","85","79","",""
"GA","89","86","83","85","80","",""
"GU","79","73","79","41","72","",""
"HI","88","86","83","84","80","",""
"IA","88","86","86","85","80","",""
"ID","88","85","81","85","81","",""
"IL","88","85","84","83","77","",""
"IN","89","86","82","85","79","",""
"KS","90","87","85","87","83","",""
"KY","91","89","84","88","85","",""
"LA","92","89","88","88","84","",""
"MA","89","85","85","84","81","",""
"MD","88","85","82","82","77","",""
"ME","90","88","85","88","86","",""
"MI","87","84","83","81","75","",""
"MN","86","84","82","81","75","",""
"MO","90","88","86","87","81","",""
"MP","86","83","85","80","75","",""
"MS","92","89","89","89","86","",""
"MT","88","86","80","85","80","",""
"NC","90","88","85","86","82","",""
"ND","90","87","86","86","82","",""
"NE","88","86","84","84","79","",""
"NH","88","86","83","85","83","",""
"NJ","87","85","83","83","78","",""
"NM","89","85","82","84","79","",""
"NV","87","81","81","78","75","",""
"NY","83","81","80","78","73","",""
"OH","88","84","82","83","75","",""
"OK","89","87","85","85","81","",""
"OR","87","85","82","80","77","",""
"PA","89","87","84","86","80","",""
"PR","89","83","76","85","80","",""
"RI","88","87","85","84","81","",""
"SC","90","87","85","87","83","",""
"SD","89","86","86","85","81","",""
"TN","90","87","84","86","82","",""
"TX","89","86","85","85","80","",""
"UT","87","83","79","82","78","",""
"VA","89","86","82","84","79","",""
"VI","91","90","72","92","77","",""
"VT","89","86","83","85","87","",""
"WA","86","83","80","81","77","",""
"WI","88","86","84","83","80","",""
"WV","91","89","84","88","85","",""
"WY","88","85","82","83","81","",""
