,state,name,zip,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
0,AL,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,36104,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
1,AL,JEFFERSON COUNTY HOME CARE,35020,True,True,True,True,True,True,3.0,80.7,98.0,99.3,99.5,60.2,72.5,100.0,71.2,64.3,64.1,80.4,76.7,49.2,,,0,0
2,AL,ALACARE HOME HEALTH & HOSPICE,35216,True,True,True,True,True,True,4.0,90.2,99.3,100.0,99.9,78.0,85.6,99.1,79.4,75.4,83.5,85.9,81.3,72.4,18.3,11.4,1,1
3,AL,KINDRED AT HOME,36330,True,True,True,False,False,True,4.0,97.1,97.7,99.9,98.8,81.0,82.8,96.0,77.6,71.4,80.3,83.6,79.3,59.9,15.5,15.1,2,1
4,AL,AMEDISYS HOME HEALTH,35031,True,True,True,True,True,True,4.0,96.5,99.7,98.1,96.2,88.4,90.1,97.8,81.3,72.8,82.1,78.0,85.7,68.5,18.9,12.1,2,2
5,AL,SOUTHEAST ALABAMA HOMECARE,36330,True,True,True,True,True,False,5.0,99.7,100.0,100.0,100.0,75.4,77.3,100.0,85.8,79.0,87.9,91.5,87.2,80.6,16.9,11.9,2,2
6,AL,KINDRED AT HOME,35906,True,True,True,True,True,True,4.0,95.3,98.6,100.0,96.2,85.5,87.5,96.6,82.8,73.9,85.2,80.8,85.0,66.0,22.2,10.2,1,2
7,AL,AMEDISYS HOME HEALTH CARE,36609,True,True,True,True,True,True,5.0,96.4,99.9,99.4,93.7,92.5,91.1,98.3,89.5,77.8,87.5,91.4,93.5,76.7,15.7,11.4,2,1
8,AL,SOUTHEAST ALABAMA HOMECARE,36301,True,True,True,True,True,True,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
9,AL,SAAD HEALTHCARE,36609,True,True,True,True,True,True,2.0,92.0,97.3,99.3,94.0,53.8,47.1,96.9,63.6,55.6,66.4,60.6,67.5,57.4,19.6,8.0,1,2
