,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip
0,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.4044,6.1,4.3,36207
1,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9653,16.7,17.3,36207
2,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9243,20.3,22.0,36207
3,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.0895,15.9,14.6,36207
4,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9232,16.9,18.3,36207
5,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.0282,17.3,16.8,36207
6,ATHENS LIMESTONE HOSPITAL,AL,1.0204,4.3,4.2,35611
7,ATHENS LIMESTONE HOSPITAL,AL,1.0616,17.0,16.0,35611
8,ATHENS LIMESTONE HOSPITAL,AL,1.0317,21.0,20.3,35611
9,ATHENS LIMESTONE HOSPITAL,AL,1.068,19.5,18.3,35611
10,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1.1927,5.8,4.8,36535
11,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.8822,16.9,19.1,36535
12,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.9738,20.6,21.1,36535
13,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1.0245,16.8,16.3,36535
14,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.9753,13.6,13.9,36535
15,WALKER BAPTIST MEDICAL CENTER,AL,1.0421,22.6,21.7,35501
16,WALKER BAPTIST MEDICAL CENTER,AL,0.898,4.6,5.1,35501
17,WALKER BAPTIST MEDICAL CENTER,AL,1.0779,19.2,17.8,35501
18,WALKER BAPTIST MEDICAL CENTER,AL,1.0683,22.0,20.6,35501
19,WALKER BAPTIST MEDICAL CENTER,AL,0.9458,16.1,17.0,35501
20,PRATTVILLE BAPTIST HOSPITAL,AL,0.9524,19.9,20.9,36068
21,PRATTVILLE BAPTIST HOSPITAL,AL,0.957,17.6,18.4,36068
22,PRATTVILLE BAPTIST HOSPITAL,AL,1.011,16.7,16.5,36068
23,PRATTVILLE BAPTIST HOSPITAL,AL,0.9807,17.7,18.0,36068
24,MONROE COUNTY HOSPITAL,AL,0.9526,17.2,18.0,36461
25,MONROE COUNTY HOSPITAL,AL,0.9526,17.2,18.0,36460
26,MONROE COUNTY HOSPITAL,AL,1.0429,19.2,18.4,36461
