,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip,hhc_count,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
0,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.4044,6.1,4.3,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
1,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9653,16.7,17.3,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
2,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9243,20.3,22.0,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
3,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.0895,15.9,14.6,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
4,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,0.9232,16.9,18.3,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
5,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.0282,17.3,16.8,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
6,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0816,5.1,4.7,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
7,STRINGFELLOW MEMORIAL HOSPITAL,AL,0.9959,17.8,17.9,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
8,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0,17.9,17.9,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
9,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0431,22.3,21.4,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
10,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0956,17.7,16.1,36207,1,1,1.0,1.0,1.0,1.0,1.0,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
11,ATHENS LIMESTONE HOSPITAL,AL,1.0204,4.3,4.2,35611,2,1,1.0,0.5,0.5,0.5,1.0,4.25,97.9,100.0,99.7,99.80000000000001,71.45,69.35,99.9,81.65,72.65,82.65,77.2,75.05,69.35,16.85,12.5,2,2
12,ATHENS LIMESTONE HOSPITAL,AL,1.0616,17.0,16.0,35611,2,1,1.0,0.5,0.5,0.5,1.0,4.25,97.9,100.0,99.7,99.80000000000001,71.45,69.35,99.9,81.65,72.65,82.65,77.2,75.05,69.35,16.85,12.5,2,2
13,ATHENS LIMESTONE HOSPITAL,AL,1.0317,21.0,20.3,35611,2,1,1.0,0.5,0.5,0.5,1.0,4.25,97.9,100.0,99.7,99.80000000000001,71.45,69.35,99.9,81.65,72.65,82.65,77.2,75.05,69.35,16.85,12.5,2,2
14,ATHENS LIMESTONE HOSPITAL,AL,1.068,19.5,18.3,35611,2,1,1.0,0.5,0.5,0.5,1.0,4.25,97.9,100.0,99.7,99.80000000000001,71.45,69.35,99.9,81.65,72.65,82.65,77.2,75.05,69.35,16.85,12.5,2,2
15,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1.1927,5.8,4.8,36535,3,1,1.0,1.0,1.0,1.0,1.0,4.0,97.0,99.33333333333333,99.8,97.16666666666667,82.43333333333334,83.86666666666666,98.63333333333333,77.3,73.06666666666666,80.46666666666665,76.83333333333333,78.83333333333333,69.56666666666668,16.166666666666668,13.333333333333334,2,1
