,zip,state,excessive_count,readmission_ratio,predicted_rate,expected_rate,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
0,36207,AL,6,1.04788,16.46,15.959999999999999,1,1.0,1.0,1.0,1.0,1.0,4.0,91.5,99.7,99.4,95.3,93.6,98.0,99.7,75.4,67.8,77.9,81.9,79.1,64.2,17.1,10.6,1,2
1,35611,AL,4,0.9438,15.066666666666668,15.816666666666668,1,1.0,1.0,1.0,1.0,1.0,4.0,96.2,98.9,99.5,94.6,80.6,88.8,94.8,78.7,70.9,77.9,75.7,76.9,67.8,15.0,15.1,1,1
2,36535,AL,2,1.02595,15.149999999999999,14.950000000000001,1,1.0,1.0,1.0,1.0,1.0,3.0,89.6,94.6,98.4,95.9,80.0,76.7,94.7,70.7,66.9,71.0,69.9,73.7,58.0,18.5,13.9,1,1
3,35501,AL,3,1.0435750000000001,15.774999999999999,14.900000000000002,1,1.0,1.0,1.0,1.0,1.0,3.5,98.94999999999999,94.1,99.19999999999999,98.0,61.9,50.599999999999994,98.75,74.1,77.3,68.69999999999999,72.8,77.15,63.7,15.8,10.6,2,2
4,36461,AL,2,0.94174,15.360000000000003,16.28,1,1.0,1.0,1.0,1.0,1.0,4.0,97.8,99.9,99.8,99.2,87.3,87.0,97.1,69.0,69.9,70.8,75.8,67.3,53.2,11.5,11.7,2,2
5,36460,AL,2,1.06562,17.22,16.0,1,1.0,1.0,1.0,1.0,1.0,3.75,96.05,99.05,99.30000000000001,98.85,71.85,76.85,98.15,76.4,77.2,78.15,76.75,74.05000000000001,64.75,18.5,12.25,1,1
6,36545,AL,1,0.94174,15.360000000000003,16.28,1,1.0,1.0,1.0,1.0,1.0,2.0,95.8,90.2,99.7,98.9,81.9,84.1,94.3,54.7,44.2,58.1,53.5,49.6,40.1,23.1,11.7,2,2
7,35801,AL,4,0.9829000000000001,15.559999999999999,16.02,1,1.0,1.0,1.0,1.0,1.0,4.5,99.4,99.9,100.0,99.6,80.7,86.5,100.0,77.1,73.5,78.6,92.5,86.5,74.9,13.6,15.5,2,1
8,35653,AL,4,1.0666,17.240000000000002,15.860000000000003,1,1.0,1.0,1.0,1.0,1.0,3.5,92.9,99.4,99.2,99.4,76.1,82.8,98.5,75.7,68.8,74.8,80.4,83.8,62.8,17.4,13.6,2,2
9,35630,AL,5,1.10664,17.1,15.739999999999998,1,1.0,1.0,1.0,1.0,1.0,4.0,99.5,99.8,100.0,100.0,83.2,79.0,98.7,76.7,73.3,76.0,79.9,77.0,64.3,20.6,13.7,1,1
10,35007,AL,3,1.1066399999999998,17.1,15.74,1,1.0,1.0,1.0,1.0,1.0,4.25,97.95,99.3,99.69999999999999,98.30000000000001,94.25,95.9,94.5,75.3,82.94999999999999,79.9,83.8,74.19999999999999,65.55,17.05,11.65,2,2
11,35570,AL,0,0.9829000000000001,15.559999999999999,16.020000000000003,1,1.0,1.0,1.0,1.0,1.0,4.0,98.6,100.0,100.0,99.3,83.2,91.1,99.4,73.9,75.6,79.0,82.3,79.0,66.6,18.1,10.4,1,3
12,35901,AL,4,1.0612400000000002,16.48,15.74,1,1.0,1.0,1.0,1.0,1.0,4.25,98.85,99.6,99.55,97.75,82.7,82.80000000000001,97.8,75.75,74.3,79.44999999999999,85.9,79.05,67.4,17.450000000000003,11.350000000000001,2,2
13,36301,AL,8,1.07272,15.86,15.3,1,1.0,1.0,1.0,1.0,1.0,3.5,93.7,98.55,98.9,98.7,77.45,84.65,98.85,75.15,73.80000000000001,76.1,77.35,75.35,70.85,19.299999999999997,13.85,2,2
14,85901,AZ,0,1.0310166666666665,16.21666666666667,15.683333333333332,1,1.0,1.0,1.0,1.0,1.0,4.0,98.6,99.3,99.9,99.4,86.1,94.5,99.0,73.4,78.3,72.8,79.6,75.6,56.2,18.2,12.8,1,1
