,hospital_name,provider_number,state,readmission_ratio,predicted_rate,expected_rate
1,CLAY COUNTY HOSPITAL,10073,AL,0.9853,14.4,14.6
2,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,1.4044,6.1,4.3
3,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,0.9653,16.7,17.3
4,ATHENS LIMESTONE HOSPITAL,10079,AL,1.0204,4.3,4.2
5,ATHENS LIMESTONE HOSPITAL,10079,AL,1.0616,17.0,16.0
6,SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,1.1927,5.8,4.8
7,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,10085,AL,0.9881,21.6,21.8
8,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,10085,AL,1.1706,4.8,4.1
9,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,10085,AL,1.0235,17.2,16.8
11,WALKER BAPTIST MEDICAL CENTER,10089,AL,1.0421,22.6,21.7
15,THOMAS HOSPITAL,10100,AL,0.8994,17.6,19.6
16,THOMAS HOSPITAL,10100,AL,1.0448,17.1,16.4
18,GRANDVIEW MEDICAL CENTER,10104,AL,0.9796,15.8,16.2
19,GRANDVIEW MEDICAL CENTER,10104,AL,1.0194,13.4,13.2
20,PRATTVILLE BAPTIST HOSPITAL,10108,AL,0.9524,19.9,20.9
21,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,1.036,17.8,17.1
22,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,1.0608,22.4,21.1
23,MONROE COUNTY HOSPITAL,10120,AL,0.9526,17.2,18.0
25,JACKSON MEDICAL CENTER,10128,AL,0.9648,12.6,13.0
26,CRESTWOOD MEDICAL CENTER,10131,AL,1.0453,15.8,15.1
30,L V STABLER MEMORIAL HOSPITAL,10150,AL,0.9379,15.0,16.0
32,RUSSELLVILLE HOSPITAL,10158,AL,1.0822,6.1,5.6
33,ATMORE COMMUNITY HOSPITAL,10169,AL,1.0162,19.1,18.8
34,ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,1.1851,5.1,4.3
37,ST VINCENT'S EAST,10011,AL,0.9887,14.5,14.6
39,SHELBY BAPTIST MEDICAL CENTER,10016,AL,1.0698,13.9,13.0
40,CULLMAN REGIONAL MEDICAL CENTER,10035,AL,0.9239,16.8,18.2
41,CULLMAN REGIONAL MEDICAL CENTER,10035,AL,1.1613,5.1,4.4
42,STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,1.0816,5.1,4.7
45,MARION REGIONAL MEDICAL CENTER,10044,AL,0.9555,18.3,19.1
48,RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,1.0524,20.1,19.1
49,MEDICAL CENTER ENTERPRISE,10049,AL,0.8768,3.9,4.4
51,FLOWERS HOSPITAL,10055,AL,0.894,14.0,15.7
52,ABRAZO CENTRAL CAMPUS,30030,AZ,0.9867,13.4,13.6
53,BANNER PAYSON MEDICAL CENTER,30033,AZ,0.9492,17.7,18.6
